time,open,high,low,close
2014-01-09T22:00:00Z,1.6481,1.65171,1.6382,1.64807
2014-01-11T22:00:00Z,1.64807,1.64876,1.64807,1.64859
2014-01-12T22:00:00Z,1.64859,1.6508,1.63473,1.63827
2014-01-13T22:00:00Z,1.63827,1.64646,1.63678,1.64399
2014-01-14T22:00:00Z,1.64399,1.64442,1.63225,1.63708
2014-01-15T22:00:00Z,1.63708,1.63832,1.6315,1.63538
2014-01-16T22:00:00Z,1.63538,1.64588,1.63097,1.64145
2014-01-18T22:00:00Z,1.64145,1.64225,1.64145,1.64193
2014-01-19T22:00:00Z,1.64193,1.64522,1.63958,1.64284
2014-01-20T22:00:00Z,1.64284,1.64857,1.63995,1.6477
2014-01-21T22:00:00Z,1.6477,1.6587,1.64507,1.65746
2014-01-22T22:00:00Z,1.65746,1.66431,1.65572,1.66377
2014-01-23T22:00:00Z,1.66377,1.66683,1.64792,1.6507
2014-01-25T22:00:00Z,1.6507,1.6507,1.64812,1.65045
2014-01-26T22:00:00Z,1.65045,1.65889,1.64735,1.65847
2014-01-27T22:00:00Z,1.65847,1.66252,1.65361,1.65789
2014-01-28T22:00:00Z,1.65789,1.66069,1.65256,1.65628
2014-01-29T22:00:00Z,1.65628,1.65688,1.64448,1.64848
2014-01-30T22:00:00Z,1.64848,1.6498,1.64275,1.64413
2014-02-01T22:00:00Z,1.64413,1.64413,1.64153,1.64218
2014-02-02T22:00:00Z,1.64218,1.64408,1.62905,1.63043
2014-02-03T22:00:00Z,1.63043,1.63447,1.62574,1.63253
2014-02-04T22:00:00Z,1.63253,1.63412,1.62521,1.63094
2014-02-05T22:00:00Z,1.63094,1.63487,1.62729,1.63213
2014-02-06T22:00:00Z,1.63213,1.6418,1.63023,1.64131
2014-02-08T22:00:00Z,1.64131,1.64131,1.63968,1.6398
2014-02-09T22:00:00Z,1.6398,1.64274,1.63832,1.64025
2014-02-10T22:00:00Z,1.64025,1.64876,1.63924,1.64499
2014-02-11T22:00:00Z,1.64499,1.65997,1.64258,1.65953
2014-02-12T22:00:00Z,1.65953,1.6674,1.65932,1.6659
2014-02-13T22:00:00Z,1.6659,1.67505,1.66447,1.67505
2014-02-15T22:00:00Z,1.67505,1.67757,1.67505,1.67707
2014-02-16T22:00:00Z,1.67707,1.68228,1.6696,1.67141
2014-02-17T22:00:00Z,1.67141,1.67414,1.66556,1.66839
2014-02-18T22:00:00Z,1.66839,1.67341,1.66371,1.66796
2014-02-19T22:00:00Z,1.66796,1.67001,1.66256,1.66506
2014-02-20T22:00:00Z,1.66506,1.67249,1.66122,1.6629
2014-02-22T22:00:00Z,1.6629,1.66291,1.66183,1.66285
2014-02-23T22:00:00Z,1.66285,1.6679,1.65837,1.66561
2014-02-24T22:00:00Z,1.66561,1.67267,1.66426,1.66801
2014-02-25T22:00:00Z,1.66801,1.67019,1.66221,1.66714
2014-02-26T22:00:00Z,1.66714,1.66983,1.66168,1.66871
2014-02-27T22:00:00Z,1.66871,1.6769,1.66766,1.67475
2014-03-01T22:00:00Z,1.67475,1.67475,1.67089,1.6714
2014-03-02T22:00:00Z,1.6714,1.67514,1.6653,1.6667
2014-03-03T22:00:00Z,1.6667,1.67168,1.66394,1.66639
2014-03-04T22:00:00Z,1.66639,1.67422,1.6657,1.67213
2014-03-05T22:00:00Z,1.67213,1.67778,1.66852,1.67399
2014-03-06T22:00:00Z,1.67399,1.6786,1.67068,1.6725
2014-03-08T22:00:00Z,1.6725,1.67344,1.67233,1.67299
2014-03-09T21:00:00Z,1.67299,1.67415,1.66222,1.6645
2014-03-10T21:00:00Z,1.6645,1.66536,1.65966,1.66166
2014-03-11T21:00:00Z,1.66166,1.6636,1.65688,1.66178
2014-03-12T21:00:00Z,1.66178,1.67192,1.66071,1.66245
2014-03-13T21:00:00Z,1.66245,1.66458,1.65874,1.66295
2014-03-15T21:00:00Z,1.66295,1.66475,1.66295,1.66388
2014-03-16T21:00:00Z,1.66388,1.6666,1.66049,1.66364
